Date,Name,Year,Letterboxd URI
2025-01-15,Life of Brian,1979,https://boxd.it/2a4q
2025-01-18,Sing Sing,2023,https://boxd.it/HIBA
2025-01-19,The Apprentice,2024,https://boxd.it/IPqG
2025-01-25,Emilia Pérez,2024,https://boxd.it/AP3G
2025-01-26,Sonic the Hedgehog 3,2024,https://boxd.it/zq0U
2025-01-29,Creed,2015,https://boxd.it/a2qk
2025-02-02,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2025-02-04,Moonrise Kingdom,2012,https://boxd.it/2Wng
2025-02-05,Fruitvale Station,2013,https://boxd.it/4VRy
2025-02-09,Nosferatu,2024,https://boxd.it/f5eG
2025-02-13,The Lighthouse,2019,https://boxd.it/icFU
2025-02-15,Election,1999,https://boxd.it/1YEc
2025-02-15,Sully,2016,https://boxd.it/cD8Q
2025-02-26,Nickel Boys,2024,https://boxd.it/CStQ
2025-02-26,The Brutalist,2024,https://boxd.it/k4BO
2025-02-28,A Complete Unknown,2024,https://boxd.it/oBYa
2025-03-10,The Town,2010,https://boxd.it/1zyS
2025-03-10,Argo,2012,https://boxd.it/2czU
2025-03-11,My Cousin Vinny,1992,https://boxd.it/1WpO
2025-03-11,The Secret of My Success,1987,https://boxd.it/1Xhw
2025-03-11,What Women Want,2000,https://boxd.it/24Sa
2025-03-14,Andrew Schulz: LIFE,2025,https://boxd.it/T7FE
2025-03-16,The Intouchables,2011,https://boxd.it/2FT0
2025-03-16,Gone Girl,2014,https://boxd.it/6hQu
2025-03-18,Mickey 17,2025,https://boxd.it/q1Dk
2025-03-21,Spirited Away,2001,https://boxd.it/2b4m
2025-03-23,The Matrix,1999,https://boxd.it/2a1m
2025-04-30,Sinners,2025,https://boxd.it/KQMM
